"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","35","","Unquote","","FSharpNameTests","FSharpNameTests.generic type definition: tuple","FSharpNameTests.generic type definition: tuple",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","1","","Unquote","","FSharpNameTests","FSharpNameTests.no alias with no generic args","FSharpNameTests.no alias with no generic args",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","18","","Unquote","","Tests","Tests.My test","Tests.My test",""
"passed","Mon Apr 10 21:09:01 GMT 2023","Mon Apr 10 21:09:01 GMT 2023","1","","xUnit","","SimpleLibxUnitTests","SimpleLibxUnitTests.factorialTest(number: 1, expectedResult: 1)","SimpleLibxUnitTests.factorialTest(number: 1, expectedResult: 1)",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","1","","Unquote","","FSharpNameTests","FSharpNameTests.array of generic type","FSharpNameTests.array of generic type",""
"failed","Mon Apr 10 21:08:59 GMT 2023","Mon Apr 10 21:08:59 GMT 2023","1","","NUnit","","SimpleLibNUnitTests","factorialTest","a parameterized NUnit test","NUnit parameterized test
"
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","1","","Unquote","","FSharpNameTests","FSharpNameTests.tuple","FSharpNameTests.tuple",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","9","","Unquote","","FSharpNameTests","FSharpNameTests.single dimimensional array of type alias","FSharpNameTests.single dimimensional array of type alias",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","0","","Unquote","","FSharpNameTests","FSharpNameTests.multi dimimensional array of type alias","FSharpNameTests.multi dimimensional array of type alias",""
"failed","Mon Apr 10 21:08:59 GMT 2023","Mon Apr 10 21:08:59 GMT 2023","72","","NUnit","","SimpleLibNUnitTests","factorialTest","a parameterized NUnit test","NUnit parameterized test
"
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","1","","Unquote","","FSharpNameTests","FSharpNameTests.nested tuples","FSharpNameTests.nested tuples",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","4","","Unquote","","FSharpNameTests","FSharpNameTests.dynamic type test with complex type: nested and tuple precedence","FSharpNameTests.dynamic type test with complex type: nested and tuple precedence",""
"passed","Mon Apr 10 21:09:01 GMT 2023","Mon Apr 10 21:09:01 GMT 2023","0","","xUnit","","SimpleLibxUnitTests","SimpleLibxUnitTests.factorialTest(number: 2, expectedResult: 2)","SimpleLibxUnitTests.factorialTest(number: 2, expectedResult: 2)",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","0","","Unquote","","FSharpNameTests","FSharpNameTests.generic tuple arg","FSharpNameTests.generic tuple arg",""
"failed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","117","","Unquote","","Tests","Tests.demo Unquote xUnit support","Tests.demo Unquote xUnit support",""
"passed","Mon Apr 10 21:09:01 GMT 2023","Mon Apr 10 21:09:01 GMT 2023","1","","xUnit","","SimpleLibxUnitTests","SimpleLibxUnitTests.factorialTest(number: 3, expectedResult: 6)","SimpleLibxUnitTests.factorialTest(number: 3, expectedResult: 6)",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","8","","Unquote","","FSharpNameTests","FSharpNameTests.fsharp funcs","FSharpNameTests.fsharp funcs",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","0","","Unquote","","SimpleLibUnquoteTests","SimpleLibUnquoteTests.factorialTest(number: 0, expectedResult: 1)","SimpleLibUnquoteTests.factorialTest(number: 0, expectedResult: 1)",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","1","","Unquote","","FSharpNameTests","FSharpNameTests.generic type definition: list","FSharpNameTests.generic type definition: list",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","1","","Unquote","","FSharpNameTests","FSharpNameTests.simple","FSharpNameTests.simple",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","1","","Unquote","","FSharpNameTests","FSharpNameTests.types in modules","FSharpNameTests.types in modules",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","0","","Unquote","","FSharpNameTests","FSharpNameTests.jagged array of type alias","FSharpNameTests.jagged array of type alias",""
"passed","Mon Apr 10 21:08:59 GMT 2023","Mon Apr 10 21:08:59 GMT 2023","1","","NUnit","","SingleTests","someTest","a simple NUnit test",""
"passed","Mon Apr 10 21:09:01 GMT 2023","Mon Apr 10 21:09:01 GMT 2023","0","","xUnit","","SimpleLibxUnitTests","SimpleLibxUnitTests.factorialTest(number: 4, expectedResult: 24)","SimpleLibxUnitTests.factorialTest(number: 4, expectedResult: 24)",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","0","","Unquote","","SimpleLibUnquoteTests","SimpleLibUnquoteTests.factorialTest(number: 2, expectedResult: 2)","SimpleLibUnquoteTests.factorialTest(number: 2, expectedResult: 2)",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","26","","Unquote","","SimpleLibUnquoteTests","SimpleLibUnquoteTests.factorialTest(number: 3, expectedResult: 6)","SimpleLibUnquoteTests.factorialTest(number: 3, expectedResult: 6)",""
"failed","Mon Apr 10 21:08:59 GMT 2023","Mon Apr 10 21:08:59 GMT 2023","6","","NUnit","","SimpleLibNUnitTests","oneMoreTest","one more NUnit test",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","0","","Unquote","","FSharpNameTests","FSharpNameTests.generic type definition: seq of nested list, no such thing as ""partially open"" generic types","FSharpNameTests.generic type definition: seq of nested list, no such thing as ""partially open"" generic types",""
"failed","Mon Apr 10 21:08:59 GMT 2023","Mon Apr 10 21:08:59 GMT 2023","2","","NUnit","","SimpleLibNUnitTests","factorialTest","a parameterized NUnit test","NUnit parameterized test
"
"failed","Mon Apr 10 21:08:59 GMT 2023","Mon Apr 10 21:08:59 GMT 2023","1","","NUnit","","SimpleLibNUnitTests","factorialTest","a parameterized NUnit test","NUnit parameterized test
"
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","1","","Unquote","","SimpleLibUnquoteTests","SimpleLibUnquoteTests.factorialTest(number: 4, expectedResult: 24)","SimpleLibUnquoteTests.factorialTest(number: 4, expectedResult: 24)",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","0","","Unquote","","FSharpNameTests","FSharpNameTests.generic type definition: 1d array, arrays are not generic","FSharpNameTests.generic type definition: 1d array, arrays are not generic",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","3","","Unquote","","FSharpNameTests","FSharpNameTests.no alias with generic args","FSharpNameTests.no alias with generic args",""
"passed","Mon Apr 10 21:09:01 GMT 2023","Mon Apr 10 21:09:01 GMT 2023","54","","xUnit","","SimpleLibxUnitTests","SimpleLibxUnitTests.factorialTest(number: 0, expectedResult: 1)","SimpleLibxUnitTests.factorialTest(number: 0, expectedResult: 1)",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","0","","Unquote","","FSharpNameTests","FSharpNameTests.tuple array is parenthisized","FSharpNameTests.tuple array is parenthisized",""
"failed","Mon Apr 10 21:08:59 GMT 2023","Mon Apr 10 21:08:59 GMT 2023","1","","NUnit","","SimpleLibNUnitTests","factorialTest","a parameterized NUnit test","NUnit parameterized test
"
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","1","","Unquote","","SimpleLibUnquoteTests","SimpleLibUnquoteTests.factorialTest(number: 1, expectedResult: 1)","SimpleLibUnquoteTests.factorialTest(number: 1, expectedResult: 1)",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","6","","Unquote","","FSharpNameTests","FSharpNameTests.type with alias and generic args","FSharpNameTests.type with alias and generic args",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","1","","Unquote","","FSharpNameTests","FSharpNameTests.array of no type alias","FSharpNameTests.array of no type alias",""
"passed","Mon Apr 10 21:09:03 GMT 2023","Mon Apr 10 21:09:03 GMT 2023","4","","Unquote","","FSharpNameTests","FSharpNameTests.generic type definition: function","FSharpNameTests.generic type definition: function",""
